epoch,train_loss,val_pr_auc
1,0.4315769127539493,0.8204041788162861
2,0.2945882263433282,0.8684118422787892
3,0.27192947943605456,0.8804218202309524
4,0.253876492997464,0.8862127914062864
5,0.25051609640620837,0.8904238072166274
6,0.2413128117546839,0.890076468889391
7,0.23506324988855815,0.8928465989943154
8,0.22875502951742865,0.8926563433750472
9,0.22469923700958142,0.8908214993016963
10,0.22006439705325825,0.8885541362795973
11,0.21171302664719296,0.8926806986387262
12,0.20911598243030993,0.8893342827978425
13,0.20786202276925397,0.8913350108096237
14,0.20211943043396172,0.8888243519025586
15,0.19822477097019484,0.8876630659868723
16,0.1945247509517101,0.8886458395049626
17,0.19091410172908618,0.8870943227269517
