iteration,val_aucpr
1,0.09061080652336115
2,0.09623117416584942
3,0.10527024468775792
4,0.1108568725557744
5,0.11279618190353224
6,0.1145712867265627
7,0.11409818176169431
8,0.11659889736363169
9,0.11665703172678363
10,0.11643464876202494
11,0.11684638903635079
12,0.11727193520907256
13,0.11813590204246689
14,0.11880694593675625
15,0.1192438199324946
16,0.1204797388240989
17,0.12085541284397502
18,0.12101023337196062
19,0.12124889613311596
20,0.12147200227182302
21,0.12142475109336368
22,0.1221333859432374
23,0.12359066976010273
24,0.12420260505655499
25,0.12471233081170577
26,0.12468121574177018
27,0.12558309406863077
28,0.1257334639205071
29,0.12568041173475017
30,0.12627148829406648
31,0.12626982835260028
32,0.12611011496624086
33,0.126665190976973
34,0.12759948344249256
35,0.12711622554624177
36,0.12718323173535748
37,0.12719790618601776
38,0.12729943595869952
39,0.1276311164510899
40,0.12829400835801572
41,0.12872278987277108
42,0.12909082913120015
43,0.12930226377588003
44,0.12960866436216656
45,0.12962163628691142
46,0.1298866568156933
47,0.13056115535550494
48,0.13083412344047954
49,0.13113884551335442
50,0.13098696608303506
51,0.1309013821896634
52,0.1310933037627718
53,0.13121637832318556
54,0.13122805385017097
55,0.13134232163384554
56,0.1319062038184575
57,0.13198342414332298
58,0.13205133712724912
59,0.13221207555833606
60,0.13248127511930138
61,0.13233633454526408
62,0.1329101562862975
63,0.13360946539379134
64,0.1338947950076064
65,0.1339658854490849
66,0.1339793465785907
67,0.13397410729655043
68,0.13391181896559806
69,0.13423175557802955
70,0.13444332947835663
71,0.13455579088416947
72,0.13486192554405022
73,0.13513602500883443
74,0.13590415874527179
75,0.13635960246243115
76,0.13643176612997607
77,0.1366679950639382
78,0.1369151121471262
79,0.1373943644307566
80,0.1376763157486796
81,0.13805577748532935
82,0.13888025300107232
83,0.1391349686220474
84,0.13915917695299487
85,0.1394669799776225
86,0.13965505420950328
87,0.13965309676624194
88,0.14006068715641032
89,0.14061134728918542
90,0.1410493884554121
91,0.14136283627388552
92,0.14168399431929907
93,0.14207107122725082
94,0.14258517669458765
95,0.14249708707853886
96,0.1430973819749185
97,0.14339367656984345
98,0.1435413943740555
99,0.14378083213985382
100,0.14418097606784008
101,0.14469409982013037
102,0.14519268741357433
103,0.14555352441285044
104,0.14591578774785097
105,0.1461490207289311
106,0.14596701089274602
107,0.14658148051055458
108,0.1467262876611198
109,0.14760742204916136
110,0.1481697657654426
111,0.14848882171746342
112,0.14887226101376136
113,0.14872854888333237
114,0.14896946528706495
115,0.14937308345564565
116,0.14951581413118756
117,0.1496414711025736
118,0.14952298518863735
119,0.15012472315230146
120,0.1502347348750617
121,0.15061958018489355
122,0.15081932003906878
123,0.15104224322784462
124,0.15126677622882312
125,0.151692180528782
126,0.15183376931439105
127,0.1519232321226254
128,0.1521931065748522
129,0.15255576878033242
130,0.15257410640750896
131,0.1527058243568145
132,0.15300178923423055
133,0.15351327674490037
134,0.15363859860980603
135,0.1539246557364368
136,0.15393858041126993
137,0.154053387089284
138,0.15424683303901762
139,0.15465837540690427
140,0.15485779971232863
141,0.1549284334221495
142,0.15533390634065816
143,0.1555108726153013
144,0.15577232800833177
145,0.156170751436625
146,0.15617822150445082
147,0.15649367885739396
148,0.1568449822976228
149,0.15715463212471112
150,0.1569032520184865
151,0.1574952367953565
152,0.15774057149602194
153,0.15780452771758088
154,0.1580820979575313
155,0.1580103256963926
156,0.1584354909422783
157,0.15869439256597737
158,0.15909159198501702
159,0.15931508591068363
160,0.15955748048139565
161,0.15991769283214957
162,0.15992933492534012
163,0.1598933008352978
164,0.16021721112133086
165,0.16050211186732843
166,0.16039832056509282
167,0.1607162988300473
168,0.1610985278224125
169,0.16109835265273806
170,0.16136976751437707
171,0.1616859019938549
172,0.16209446814796066
173,0.16221006975464713
174,0.16213175193756674
175,0.1620829480729491
176,0.16228279104181054
177,0.1622421502961387
178,0.16226854571792185
179,0.1625457535720548
180,0.16252705500417158
181,0.16271257406551776
182,0.16320443727092163
183,0.16339621042917254
184,0.1634420269046957
185,0.16368116909583252
186,0.16395040825717885
187,0.1639035952315344
188,0.16313227764540816
189,0.16323938659981205
190,0.16338060294500004
191,0.16345629775905107
192,0.16326907429466525
193,0.163453502058571
194,0.16346868888153152
195,0.16321627551432036
196,0.16368218178601227
197,0.16381608016673127
198,0.16383419674667632
199,0.1640868243770039
200,0.1641590712241685
201,0.16422717149439106
202,0.16437760746471478
203,0.1644965075116759
204,0.16449989983339983
205,0.16475925861020949
206,0.16487536698783647
207,0.1646564103156361
208,0.16478594964916504
209,0.16467263532927556
210,0.1649359923236236
211,0.1649524287689253
212,0.16468731824099034
213,0.16446216491126264
214,0.16458452655390224
215,0.16450298975691105
216,0.16473120938609276
217,0.1652283421852685
218,0.16529063214512824
219,0.16539562219716702
220,0.16523983241329773
221,0.16552614776826133
222,0.16579938824308105
223,0.16581874628657384
224,0.16570785411343789
225,0.1656737739115921
226,0.16586589952677278
227,0.16608831649917608
228,0.16630524553010995
229,0.16628553506053892
230,0.16638644528555718
231,0.1662738663545997
