epoch,train_loss,val_pr_auc
1,0.6584414970270198,0.3593625189271409
2,0.6390830008627452,0.36078404163347205
3,0.6333261185526122,0.361803208763981
4,0.6284006678130668,0.36214109138463885
5,0.6228403658059922,0.36531704868450177
6,0.6180251255804518,0.36465728815088017
7,0.6118563266578185,0.3620456814552217
8,0.6051608965680533,0.3635942797505766
9,0.5972982440785941,0.3657536783833839
10,0.5911798707156041,0.3661973461822662
11,0.5858942980702674,0.3653412634130694
12,0.5779675057706858,0.36317409552684987
13,0.5712076112443877,0.3606265379472541
14,0.5639490686718152,0.35502832603177203
15,0.5555521784380324,0.35901310953733945
