epoch,train_loss,val_pr_auc
1,0.5798912797799671,0.15264100526714097
2,0.511390919258738,0.16844547591160938
3,0.49655413922495,0.1727254035359173
4,0.48507137208003787,0.17860585033980086
5,0.4784290261203681,0.1799561201076471
6,0.4723201537233958,0.18170222659028198
7,0.4648865721788476,0.18408663960454616
8,0.46099702792356445,0.18432622662991138
9,0.4560261665325132,0.18380818478168554
10,0.4542469968249184,0.18422283847684115
11,0.4494040655369748,0.1844383699624627
12,0.44239271161933114,0.18351758648011512
13,0.4374564082640583,0.1808964235322671
14,0.43431331343336815,0.18345995511091284
15,0.4258022206083867,0.1832177535715342
16,0.42096807029609545,0.18062592093801405
17,0.41535709585581837,0.1801987243289335
18,0.4083292403139302,0.17689097036280624
19,0.40235670819404684,0.178901117344591
20,0.39634263481434695,0.17871323392345007
21,0.388435099578026,0.17536802848897026
