epoch,train_loss,val_pr_auc
1,0.5845317632711647,0.17508787867724218
2,0.5136493207868288,0.1947386400842759
3,0.49758206738810035,0.2020558313722393
4,0.4885293071969553,0.20851105281065813
5,0.4813907206275778,0.2090961241131062
6,0.474256237639442,0.21018015400423873
7,0.46930903275929986,0.214031554070442
8,0.46517254753947485,0.2160122359080311
9,0.4575472571495805,0.21689047104110953
10,0.4522340874960313,0.21670249312790527
11,0.44612722957423145,0.21405330614000734
12,0.4389619676094323,0.21397136576742679
13,0.4353899060151264,0.2117603833184146
14,0.4283772897779078,0.21369047635502963
15,0.42279522531293423,0.20906000813235948
16,0.4142356425645498,0.2076583810219273
17,0.408127428680482,0.21214088324612254
18,0.401504208276281,0.2053695489057496
19,0.39187703145065456,0.20633068423431133
