epoch,train_loss,val_pr_auc
1,0.6689358482332153,0.36503880346553064
2,0.6559594529965652,0.3649716799596582
3,0.6526007534546525,0.36864090332919647
4,0.6507440799940875,0.3701416811708552
5,0.6500962047458042,0.3686128909369618
6,0.6488018258590703,0.3686457780141196
7,0.6473118504967926,0.3716743886587847
8,0.6453404577045627,0.37076503613172546
9,0.6419792329111167,0.3638741495294955
10,0.6413991875830877,0.36767145255928413
11,0.6360657926165075,0.3606166159043858
12,0.6333570454075399,0.3592744911573339
