iteration,val_aucpr
1,0.8518448795238046
2,0.8617681534727527
3,0.8650555846448125
4,0.8677110833853111
5,0.8702093728430381
6,0.8717751532155255
7,0.8720178068059731
8,0.8723150055930634
9,0.8726650804449446
10,0.8737339156757088
11,0.8748575677833224
12,0.8750800891216544
13,0.8761076960130832
14,0.8751329153750257
15,0.8734823666496567
16,0.8740158390102466
17,0.8755984068294155
18,0.8743050988535568
19,0.8754259225368886
20,0.8760977548531453
21,0.8765418831061302
22,0.8767292582765064
23,0.8768364001444403
24,0.8762889488104749
25,0.8751393620254213
26,0.8738360260083753
27,0.8741586089978747
28,0.8729114561326299
29,0.8744571593780659
30,0.8753351713233261
31,0.8759737423761909
32,0.8763488063967366
33,0.8768868233154815
34,0.8775440011583455
35,0.8781861268944836
36,0.8784605774186918
37,0.8786009972727913
38,0.8787897164478595
39,0.8787661669904915
40,0.8791373155796737
41,0.8792894949420713
42,0.879449997278031
43,0.8795543097803047
44,0.879490830232812
45,0.8797295255989285
46,0.8794570505917922
47,0.8796878869192707
48,0.8797506035740739
49,0.879723077399945
50,0.879737415619019
51,0.8799315227710655
52,0.8798477504549839
53,0.8800778778778474
54,0.880211459240158
55,0.8799834093408138
56,0.8801396027658137
57,0.8803264048680307
58,0.8802250525518331
59,0.8804362589002812
60,0.8806601671118394
61,0.880633077537655
62,0.8806920203688772
63,0.8807058247400955
64,0.8808557184333033
65,0.8810217941814069
66,0.8811044122153799
67,0.8812949970637761
68,0.8813225613101963
69,0.8813681471624563
70,0.8813228333277418
71,0.8812483310181665
72,0.8813135084873769
73,0.8814196692298345
74,0.8815125135188614
75,0.88170596310156
76,0.8818249653790446
77,0.8819403325738655
78,0.8820349267213574
79,0.8821798000415637
80,0.882353887780987
81,0.8825273210571337
82,0.8826491557695708
83,0.8826115705031137
84,0.8827704834136294
85,0.882794069996771
86,0.8829359905673126
87,0.883041198857351
88,0.8831809064768734
89,0.8834875438560871
90,0.8836689174777775
91,0.8835648794940998
92,0.8836769085857634
93,0.8837329383258633
94,0.8838388025109059
95,0.8839729874507951
96,0.884076301121203
97,0.884157673739912
98,0.884214541329649
99,0.8843920141363636
100,0.884469501125525
101,0.8846832938897383
102,0.884711313387563
103,0.8847547463627494
104,0.8847748063392098
105,0.8848585337424094
106,0.8849128526606714
107,0.8849812989991145
108,0.885017626731125
109,0.8851480788083249
110,0.8851805377847889
111,0.885130020733011
112,0.8851438100063308
113,0.8852460059965847
114,0.88542700026568
115,0.8854129561232366
116,0.8854788269542568
117,0.8854879603636141
118,0.8855670108352014
119,0.8856475188246229
120,0.8856764699781106
121,0.8858539985024638
122,0.8859542728992231
123,0.8859373098335512
124,0.8859595660309493
125,0.8859602560119882
126,0.8860521663912748
127,0.8860820978437651
128,0.8861080493981793
129,0.8861281989266694
130,0.8861474700115395
131,0.8861807573697434
132,0.8861842744589565
133,0.8863468714807589
134,0.8864166750266465
135,0.8865802614733899
136,0.8866654669119699
137,0.886824325982984
138,0.886800357391605
139,0.8869761176985312
140,0.8870657244585609
141,0.8870889869469519
142,0.8870866077606492
143,0.887178854915253
144,0.8872633434296707
145,0.8874753393641082
146,0.8876298181113774
147,0.8876494239440099
148,0.8876781435539166
149,0.8877744031018675
150,0.8878743508199075
151,0.8879616824441429
152,0.887993358960184
153,0.8881788221910832
154,0.8883334760586857
155,0.8883598225313019
156,0.8884340014726202
157,0.8885531527766461
158,0.8887001496522701
159,0.8887903379675127
160,0.888934316447471
161,0.8889467613355262
162,0.8889326484849265
163,0.889059965707411
164,0.8892061968944928
165,0.8892748589164029
166,0.889278644818516
167,0.8894143132909459
168,0.8895356681066634
169,0.88956489148127
170,0.8896382569399721
171,0.8896224553914258
172,0.8897145663489078
173,0.8897741884536584
174,0.8899217430697446
175,0.889950735031387
176,0.8900057409459228
177,0.890110811030871
178,0.89022142113467
179,0.890449823184194
180,0.8905208430552382
181,0.8906966067504275
182,0.8907457973617381
183,0.8907965203672616
184,0.8909097339537518
185,0.8910160547910052
186,0.8911467970148397
187,0.8911408518876078
188,0.8911599624335468
189,0.891228809651685
190,0.8912474178899104
191,0.89130434958956
192,0.8913746866490628
193,0.8914391714189448
194,0.8915440806677463
195,0.89152994545353
196,0.8915672513346174
197,0.8916127563736842
198,0.8916928750440472
199,0.8917252795492384
200,0.8917451536179225
201,0.8917998611491464
202,0.8918392188514237
203,0.8918483816810472
204,0.8919038202424657
205,0.8919009529742696
206,0.8919448489014205
207,0.8920350607470057
208,0.8921059227392009
209,0.8921080185615544
210,0.8921748279362683
211,0.8922097545794896
212,0.8922653598251061
213,0.8923277106902997
214,0.8923607543920143
215,0.8924340700679532
216,0.8924679646368258
217,0.8925187646451932
218,0.8925490841511088
219,0.8925747598780633
220,0.8926408883646816
221,0.89272340860757
222,0.8927617473845115
223,0.8927939759615248
224,0.8928197174341768
225,0.8928826253553646
226,0.892949530905522
227,0.8929962461282356
228,0.8930194436601067
229,0.8930692202598366
230,0.8931222859878719
231,0.8931550489684764
232,0.8932272243315065
233,0.8933328180378927
234,0.8933910282723385
235,0.8934195330194636
236,0.8934669819852704
237,0.8935539757784594
238,0.8935606801485477
239,0.893615284087721
240,0.893650863634912
241,0.8936709045216958
242,0.8937068119973305
243,0.89373293469569
244,0.8937424034895531
245,0.8937609304361708
246,0.8938131433032542
247,0.8938666618881518
248,0.8939255408550798
249,0.8939411037374587
250,0.8939576101136993
251,0.8939983091096184
252,0.8940232756360835
253,0.8940447911570907
254,0.8940680809527198
255,0.8941259187792293
256,0.8941377280661118
257,0.8941881223173177
258,0.8942157785428435
259,0.8942686356274873
260,0.8943135176188944
261,0.8943433038826154
262,0.8943830707810156
263,0.8944618897517222
264,0.8944579200562119
265,0.8944846968527077
266,0.8944849227374472
267,0.8945213755613898
268,0.8945799534911233
269,0.8946347150961229
270,0.8946611067023199
271,0.8946455776491291
272,0.8946850599805065
273,0.8947067169114279
274,0.8947224720576735
275,0.8947561683969686
276,0.8947607895894025
277,0.8947947677521493
278,0.8948125954175096
279,0.8948149219956688
280,0.8948510095483004
281,0.8949085457059298
282,0.894973443010922
283,0.8950378379075123
284,0.8951112758494374
285,0.895125516133838
286,0.895168308425473
287,0.8951978516645669
288,0.8952207149120481
