epoch,train_loss,val_pr_auc
1,0.6183275448747292,0.09278886333448137
2,0.5361558083574114,0.10328078429274055
3,0.5232214450293697,0.10580922172057253
4,0.5064834069955504,0.10823643969033162
5,0.4975273227420826,0.10850662929004892
6,0.49114729403277335,0.10849602766671837
7,0.488126595627919,0.10966482935549855
8,0.478091355304488,0.10458542545061744
9,0.470961477965085,0.09949514029079512
10,0.46514467334320997,0.1001202870400233
11,0.4582080320301716,0.10030547183387416
12,0.45009723188036005,0.09709926492096278
13,0.4465185228157794,0.10043905622734484
14,0.43748604445690964,0.09045900257918627
15,0.43048944576282927,0.09210631674353485
16,0.419889456841751,0.09121290899432571
17,0.412413639990426,0.09118404936336238
