pair_id,step_label_A,step_label_B,feature,block,w1,raw_mean_A,raw_mean_B,raw_std_A,raw_std_B,raw_abs_mean_diff,standardized_mean_diff_A_scale,reference_mean_A,reference_scale_A
0,2019-06,2019-10,sumoutstandtotalest_4493215A,num,8316.849568041862,-1.0,8315.84935176892,0.0,34541.10116013363,8316.84935176892,8316.84935176892,-1.0,1.0
0,2019-06,2019-10,maxlnamtstart6m_4525199A,num,8196.983108165392,-1.0,8195.983108165387,0.0,22721.40447896243,8196.983108165387,8196.983108165387,-1.0,1.0
0,2019-06,2019-10,tax_a_1_std_recorddate_4527225D,num,4224.058417549913,-1.0,-4225.058417549913,0.0,7674.523252021827,4224.058417549913,-4224.058417549913,-1.0,1.0
0,2019-06,2019-10,avglnamtstart24m_4525187A,num,2901.9407476971282,-1.0,2900.9407476971305,0.0,15694.963305606843,2901.9407476971305,2901.9407476971305,-1.0,1.0
0,2019-06,2019-10,maxpmtlast3m_4525190A,num,1706.575672535409,-1.0,1705.5756725354142,0.0,8505.591495358525,1706.5756725354142,1706.5756725354142,-1.0,1.0
0,2019-06,2019-10,totinstallast1m_4525188A,num,1642.6013599899359,-1.0,1641.60135998993,0.0,7519.005244072612,1642.60135998993,1642.60135998993,-1.0,1.0
0,2019-06,2019-10,avgpmtlast12m_4525200A,num,1145.4456194344723,-1.0,1144.4456194344714,0.0,4318.2770691630285,1145.4456194344714,1145.4456194344714,-1.0,1.0
0,2019-06,2019-10,tax_a_1_max_amount_4527230A,num,974.698016091526,-1.0,973.6980160915257,0.0,2996.055035614909,974.6980160915257,974.6980160915257,-1.0,1.0
0,2019-06,2019-10,pmtaverage_4527227A,num,645.8168724455156,-1.0,644.8168724455137,0.0,2839.310780010053,645.8168724455137,645.8168724455137,-1.0,1.0
0,2019-06,2019-10,tax_a_1_mean_amount_4527230A,num,576.7122370417941,-1.0,575.7122370417939,0.0,1735.556189594917,576.7122370417939,576.7122370417939,-1.0,1.0
0,2019-06,2019-10,tax_a_1_min_amount_4527230A,num,323.7753170307508,-1.0,322.77531703075044,0.0,1145.808927849402,323.77531703075044,323.77531703075044,-1.0,1.0
0,2019-06,2019-10,tax_a_1_std_amount_4527230A,num,235.86376964465242,-1.0,234.86376964465234,0.0,845.6817529999679,235.86376964465234,235.86376964465234,-1.0,1.0
0,2019-06,2019-10,dtlastpmtallstes_4499206D,num,108.80232095859805,-1.0,-108.74254375154055,0.0,470.83145460611297,107.74254375154055,-107.74254375154055,-1.0,1.0
