pair_id,step_label_A,step_label_B,reported_delta_X_wasserstein,recomputed_w1_mean,w1_median_feature,w1_p95_feature,w1_p99_feature,w1_max_feature,w1_top1_feature,w1_top1_block,w1_top1_share_of_sum,w1_top5_share_of_sum,reported_delta_X_tv,recomputed_tv_mean,tv_max_feature,tv_top1_feature,reported_delta_Y
0,2019-06,2019-10,37.61806280321621,37.61806280362825,0.03875847800443373,1.2777889941388032,625.7765281784389,8316.849568041862,sumoutstandtotalest_4493215A,num,0.26636939644380975,0.8117866286127706,0.07289811626908956,0.07289811626908956,0.5145311815166587,credit_a_1_first_purposeofcred_874M,0.0026058290120655886
1,2019-09,2020-01,0.11293917035133469,0.1129391704364519,0.026458227955827092,0.4598733552413194,1.1445787676012795,3.7318035569979884,responsedate_1012D,num,0.0398103585007548,0.11199628722259702,0.04154785653006192,0.04154785653006192,0.6509953149069725,requesttype_4525192L,0.00629335679484484
2,2019-12,2020-04,1.2928118269828879,1.2928118270259654,0.030570634044563227,0.23316212423932345,1.0726747985455423,379.32547330821126,tax_b_1_max_amount_4917619A,num,0.35350747338950095,0.9504767998328264,0.030630046596974343,0.030630046596974343,0.4470883349065327,applprev_1_first_postype_4733339M,0.006817060838143263
3,2020-03,2020-07,526.3032018620834,526.3032018616217,0.054590843193008665,0.23178815943910283,5.484548780520892,154415.14951125087,contractssum_5085716L,num,0.3534889169411726,0.9997386721274186,0.06688968160182643,0.06688968160182643,0.42887680776945003,requesttype_4525192L,0.00337993485495372
