pair_id,pr_auc_A,pr_auc_B,roc_auc_A,roc_auc_B,n_flagged
0,0.1573711484300927,0.17065235723701805,0.8138334983003528,0.8256417457497972,15086
1,0.18980220025201483,0.2053752728247257,0.8085039025565464,0.8273719410146482,6629
2,0.17364646974541204,0.17334368310469275,0.8522222057569482,0.8535634274105625,4740
3,0.15255355711142676,0.1488256028911096,0.8573579273646428,0.8550978603067476,5552
