epoch,train_loss,val_pr_auc
1,0.5567930172350615,0.15883595438811027
2,0.49859882627679813,0.16761421458200004
3,0.47883265648010864,0.16787868344698226
4,0.4679173520282749,0.16427882335668004
5,0.4526636785571781,0.1517748270804764
6,0.43660934004115,0.15222806151313373
7,0.41678356601724115,0.13749249171030775
8,0.3911700131768687,0.1446244137454848
9,0.3692786552102441,0.13914703644015228
10,0.34480630353776953,0.13136494314609057
11,0.32500098030599567,0.12723339624236868
12,0.3083195310891979,0.1274130375869197
13,0.28609625961673596,0.11902616074424238
