epoch,train_loss,val_pr_auc
1,0.4744357360200294,0.776828245968272
2,0.27596648099337123,0.8484887582280206
3,0.2544393332570689,0.8651874560660182
4,0.23842992810646602,0.8791375377047227
5,0.2315427660698555,0.8840943818683383
6,0.2216298372430103,0.8810713346439707
7,0.21717372902576626,0.8873842959975936
8,0.21895326481211866,0.8881101986625181
9,0.20521001940869218,0.8882604132392319
10,0.20382667794095513,0.8894530787596895
11,0.19609036159965412,0.8863190955780159
12,0.18892883713834913,0.8882695778494067
13,0.1819081952961895,0.8881256579814748
14,0.18022239077790614,0.8779143891007845
15,0.17210689376997662,0.8846724013995163
16,0.16158694862238154,0.8813075605410217
17,0.15507735081222795,0.8815381790973502
18,0.14638801904349258,0.878206076594311
19,0.14101225932788217,0.8780577573563506
20,0.13643248025684074,0.8772173559202066
