epoch,train_loss,val_pr_auc
1,0.5049364451509536,0.7565203750858989
2,0.2865764670238364,0.8350716323197614
3,0.259188862768609,0.8655813962796459
4,0.24332302298142952,0.8732182624576461
5,0.2333543728293693,0.8804111487210847
6,0.22475585203376114,0.8823633808327194
7,0.2173398845096218,0.884758076171401
8,0.21341404049911614,0.882664318867405
9,0.21607793668045447,0.8867732269843344
10,0.1989492013351573,0.8891552729674053
11,0.19472264126880748,0.886982075436859
12,0.18160185486219504,0.8814509443316438
13,0.1725184993375495,0.8832691994334193
14,0.1641435018131635,0.8835320115481847
15,0.15356139504289992,0.8810088072760499
16,0.14920732610890788,0.8769486022407661
17,0.13506998745351664,0.8779101041233253
18,0.12500440089735532,0.8714386361172946
19,0.11513118618579643,0.8761686989299486
20,0.1045615045857558,0.8743179732348285
