epoch,train_loss,val_pr_auc
1,0.6192261010709436,0.1259821199827421
2,0.5335319638153558,0.1319451507612065
3,0.5055040895178887,0.13597114655599124
4,0.4901997368251632,0.14658720861377017
5,0.48319801713856153,0.13991796456265987
6,0.4729768561890513,0.13677327138125236
7,0.4649032470326803,0.1428059227065404
8,0.4563183997527794,0.1445307644730417
9,0.44906726446465994,0.14922197573654572
10,0.4477464161994619,0.14262258476127426
11,0.4333792325232001,0.14350934881645178
12,0.42847052320657847,0.1398337113720453
13,0.42336797396914416,0.1448923428917332
14,0.41806047306014993,0.14006611245626316
15,0.4055153112732075,0.144165850857345
16,0.39755394877651545,0.1401854662234714
17,0.38871859683957316,0.14034350691767455
18,0.3776561954367297,0.134689861750891
19,0.36986512804903876,0.14170135403978618
