epoch,train_loss,val_pr_auc
1,0.5994026141027897,0.14808063169490107
2,0.5191032510492355,0.16593796586903675
3,0.4992431631916655,0.1722412589446607
4,0.48799770885396304,0.17748392199033103
5,0.47709571134458484,0.17903527628940863
6,0.4735808869169013,0.18125340083268773
7,0.4666442151512973,0.1808366397416479
8,0.4582156223672274,0.18272652901062703
9,0.45256841896727795,0.17952673406742228
10,0.4474027154564722,0.17922591863756293
11,0.44341749609775954,0.17810776804886605
12,0.43357647540470023,0.17297693056336752
13,0.42809196369810554,0.17206230681032283
14,0.4245288982014242,0.1709354775702597
15,0.4155291232017676,0.1724168903213505
16,0.40556949226447414,0.1716852774385923
17,0.3991869805836608,0.16914037193145465
18,0.3959108476927825,0.16782276726415388
