iteration,val_aucpr
1,0.32851139707848553
2,0.3695535364916787
3,0.3694299861688181
4,0.3805433804915606
5,0.38637818030927595
6,0.38891360541436043
7,0.39097636698605537
8,0.38990758751645443
9,0.3907943919983381
10,0.3898663575262892
11,0.39332264086664714
12,0.3961031672435539
13,0.39593965140147375
14,0.3947324306054218
15,0.3956791380000697
16,0.3960470347953621
17,0.3957564168315432
18,0.39414894534100586
19,0.3939220421341091
20,0.3932164355459543
21,0.39391780040553476
22,0.39369291815946483
23,0.3948796676462979
24,0.3938772227738409
25,0.39310691400291864
26,0.3934064087471673
27,0.3938601124531419
28,0.39472784211089335
29,0.3945609006332817
30,0.3948044992459606
31,0.3945518394184687
32,0.3937991155220768
33,0.39343007494429044
34,0.39321240978097904
35,0.39356431220910926
36,0.3930708165772196
37,0.3934297719682329
38,0.3928930853158475
39,0.39207603803066127
40,0.39108384356916037
41,0.3914183621051079
42,0.39156521868431887
43,0.39215787888891357
44,0.3924233796887939
45,0.39233815518875215
46,0.39234665408815467
47,0.3923815453031494
48,0.39213204532043666
49,0.3923297368566504
50,0.3925199912987847
51,0.3925746303795598
52,0.392488337543127
53,0.39262379514623846
54,0.39262722423163365
55,0.39247475057954945
56,0.39254406275785514
57,0.3927339958271725
58,0.39280427375597987
59,0.3927368362739643
60,0.39252776151401714
61,0.3923265507404599
62,0.39274322021005054
